index,smiles,oxidation_potential,reduction_potential
446,C[C@H]1[C@H](C#N)CN1C,,
447,CC[N@]1C[C@]1(C)C#N,,
448,CC[C@@H](C#N)N1CC1,,
449,CC1(C)CN[C@H]1C#N,3.7936459919624754,-5.437149507602444
450,C[C@@H](CC#N)[C@H]1CN1,4.541266496719399,-5.543963445764748
451,CC1(C)C[C@H](C#N)N1,,
452,CC1(C)[C@H](CC#N)N1,4.153767409936845,-5.842958232860329
453,C[C@@H](CC#N)N1CC1,,
454,C[C@@H]1C[C@@H](C#N)NC1,,
455,Cc1cnn(C)c1C,,
456,C[C@H]1C[C@@](C1)(C#N)N,,-5.171961491206676
457,C[C@@H](C[C@H]1CN1)C#N,,
458,CCCc1cc[nH]n1,4.426640772794198,
459,CCCc1cc[nH]n1,4.426640772794198,
460,CCn1cc(C)cn1,5.084811763583784,-5.734579565204913
461,CCc1c[nH]nc1C,4.780233953799834,-4.237261767698729
462,CCn1ccc(C)n1,,
463,CCc1c(C)c[nH]n1,,
464,CC(C)n1cccn1,4.231970347806564,
465,CCc1c(C)c[nH]n1,,
466,Cc1c(C)[nH]nc1C,4.852424381494129,-4.990023498859446
467,C1[C@H]([C@H]2C3CN2C3)N1,,-5.623386434962813
468,CCc1cc(C)[nH]n1,,
469,CC(C)c1cc[nH]n1,4.565341313961253,-6.616272609056469
470,C1C[N@@]2C[C@]12[C@H]1CN1,3.915589665505249,-4.645342171988378
471,C[C@]12C[N@]3C[C@H]3[C@H]1N2,4.715876041591909,
472,CC[C@@]12[C@H]3[C@@H]([C@@H]1N2)N3,,
473,C1CN1C12CN(C1)C2,4.142268775617194,
474,C[N@]1[C@H]2C[C@@H]3[C@H]([C@@H]12)N3,4.408127797775305,-5.537015169400038
475,C1C[C@@H]2[C@H]([C@@H]3[C@H]1N3)N2,,
476,C[C@H]1[C@@H]2[C@H]([C@@H]3[C@H]1N3)N2,,
477,C[C@@]12[C@@H]3[C@H]([C@]1(C)N2)N3,,-5.230021317323408
478,C[N@]1[C@H]2C[C@]3(CN3)[C@@H]12,,
479,C[C@@]12C[N@]2C[C@]21CN2,4.533061721466365,
